total_number_messages_human;total_number_messages_agent;average_message_length_human;average_message_length_agent;ignored;world_nr;tick_nr
0;0;0;0;0;1;214
0;0;0;0;0;1;215
0;0;0;0;0;1;216
0;0;0;0;0;1;217
0;0;0;0;0;1;218
0;0;0;0;0;1;219
0;0;0;0;0;1;220
0;0;0;0;0;1;221
0;0;0;0;0;1;222
0;0;0;0;0;1;223
0;0;0;0;0;1;224
0;0;0;0;0;1;225
0;0;0;0;0;1;226
0;0;0;0;0;1;227
0;0;0;0;0;1;228
0;0;0;0;0;1;229
0;0;0;0;0;1;230
0;0;0;0;0;1;231
0;0;0;0;0;1;232
0;0;0;0;0;1;233
0;0;0;0;0;1;234
0;0;0;0;0;1;235
0;0;0;0;0;1;236
0;0;0;0;0;1;237
0;0;0;0;0;1;238
0;0;0;0;0;1;239
0;0;0;0;0;1;240
0;0;0;0;0;1;241
0;0;0;0;0;1;242
0;0;0;0;0;1;243
0;0;0;0;0;1;244
0;0;0;0;0;1;245
0;0;0;0;0;1;246
0;0;0;0;0;1;247
0;0;0;0;0;1;248
0;0;0;0;0;1;249
0;0;0;0;0;1;250
0;0;0;0;0;1;251
0;0;0;0;0;1;252
0;0;0;0;0;1;253
0;0;0;0;0;1;254
0;0;0;0;0;1;255
0;0;0;0;0;1;256
0;0;0;0;0;1;257
0;0;0;0;0;1;258
0;0;0;0;0;1;259
0;0;0;0;0;1;260
0;0;0;0;0;1;261
0;0;0;0;0;1;262
0;0;0;0;0;1;263
0;0;0;0;0;1;264
0;0;0;0;0;1;265
0;0;0;0;0;1;266
0;0;0;0;0;1;267
0;0;0;0;0;1;268
0;0;0;0;0;1;269
0;0;0;0;0;1;270
0;0;0;0;0;1;271
0;0;0;0;0;1;272
0;0;0;0;0;1;273
0;0;0;0;0;1;274
0;0;0;0;0;1;275
0;0;0;0;0;1;276
0;0;0;0;0;1;277
0;0;0;0;0;1;278
0;0;0;0;0;1;279
0;0;0;0;0;1;280
0;0;0;0;0;1;281
0;0;0;0;0;1;282
0;0;0;0;0;1;283
0;0;0;0;0;1;284
0;0;0;0;0;1;285
0;0;0;0;0;1;286
0;0;0;0;0;1;287
0;0;0;0;0;1;288
0;0;0;0;0;1;289
0;0;0;0;0;1;290
0;0;0;0;0;1;291
0;0;0;0;0;1;292
0;0;0;0;0;1;293
0;0;0;0;0;1;294
0;0;0;0;0;1;295
0;0;0;0;0;1;296
0;0;0;0;0;1;297
0;0;0;0;0;1;298
0;0;0;0;0;1;299
0;0;0;0;0;1;300
0;0;0;0;0;1;301
0;0;0;0;0;1;302
0;0;0;0;0;1;303
0;0;0;0;0;1;304
1;0;0;0;0;1;305
1;0;0;0;0;1;306
1;1;0;0;0;1;307
1;1;0;0;0;1;308
1;1;0;0;0;1;309
1;1;0;0;0;1;310
1;1;0;0;0;1;311
1;1;0;0;0;1;312
1;1;0;0;0;1;313
1;1;0;0;0;1;314
1;1;0;0;0;1;315
1;1;0;0;0;1;316
1;1;0;0;0;1;317
1;1;0;0;0;1;318
1;1;0;0;0;1;319
1;1;0;0;0;1;320
1;1;0;0;0;1;321
1;1;0;0;0;1;322
1;1;0;0;0;1;323
1;1;0;0;0;1;324
1;1;0;0;0;1;325
1;1;0;0;0;1;326
1;1;0;0;0;1;327
1;1;0;0;0;1;328
1;1;0;0;0;1;329
1;1;0;0;0;1;330
1;1;0;0;0;1;331
1;1;0;0;0;1;332
1;1;0;0;0;1;333
1;1;0;0;0;1;334
1;1;0;0;0;1;335
1;1;0;0;0;1;336
1;1;0;0;0;1;337
1;1;0;0;0;1;338
1;1;0;0;0;1;339
1;1;0;0;0;1;340
1;1;0;0;0;1;341
1;1;0;0;0;1;342
1;1;0;0;0;1;343
1;1;0;0;0;1;344
1;1;0;0;0;1;345
1;1;0;0;0;1;346
1;1;0;0;0;1;347
1;1;0;0;0;1;348
1;1;0;0;0;1;349
1;1;0;0;0;1;350
1;1;0;0;0;1;351
1;1;0;0;0;1;352
1;1;0;0;0;1;353
1;1;0;0;0;1;354
1;1;0;0;0;1;355
1;1;0;0;0;1;356
1;1;0;0;0;1;357
1;1;0;0;0;1;358
1;1;0;0;0;1;359
1;1;0;0;0;1;360
1;1;0;0;0;1;361
1;1;0;0;0;1;362
1;1;0;0;0;1;363
1;1;0;0;0;1;364
1;1;0;0;0;1;365
1;1;0;0;0;1;366
1;1;0;0;0;1;367
1;1;0;0;0;1;368
1;1;0;0;0;1;369
1;1;0;0;0;1;370
1;1;0;0;0;1;371
1;1;0;0;0;1;372
1;1;0;0;0;1;373
1;1;0;0;0;1;374
1;1;0;0;0;1;375
1;1;0;0;0;1;376
1;1;0;0;0;1;377
1;1;0;0;0;1;378
1;1;0;0;0;1;379
2;1;0;0;0;1;380
2;1;0;0;0;1;381
2;1;0;0;0;1;382
2;1;0;0;0;1;383
2;1;0;0;0;1;384
2;1;0;0;0;1;385
2;1;0;0;0;1;386
2;1;0;0;0;1;387
2;1;0;0;0;1;388
2;1;0;0;0;1;389
2;1;0;0;0;1;390
2;1;0;0;0;1;391
2;1;0;0;0;1;392
2;1;0;0;0;1;393
2;1;0;0;0;1;394
2;1;0;0;0;1;395
2;1;0;0;0;1;396
2;1;0;0;0;1;397
2;1;0;0;0;1;398
2;1;0;0;0;1;399
2;1;0;0;0;1;400
2;1;0;0;0;1;401
2;1;0;0;0;1;402
2;1;0;0;0;1;403
2;1;0;0;0;1;404
2;1;0;0;0;1;405
2;1;0;0;0;1;406
2;1;0;0;0;1;407
2;1;0;0;0;1;408
2;1;0;0;0;1;409
2;1;0;0;0;1;410
2;1;0;0;0;1;411
2;1;0;0;0;1;412
2;1;0;0;0;1;413
2;1;0;0;0;1;414
2;1;0;0;0;1;415
2;1;0;0;0;1;416
2;1;0;0;0;1;417
2;1;0;0;0;1;418
2;1;0;0;0;1;419
2;1;0;0;0;1;420
2;1;0;0;0;1;421
2;1;0;0;0;1;422
2;1;0;0;0;1;423
2;1;0;0;0;1;424
2;1;0;0;0;1;425
2;1;0;0;0;1;426
2;1;0;0;0;1;427
2;1;0;0;0;1;428
2;1;0;0;0;1;429
2;1;0;0;0;1;430
2;1;0;0;0;1;431
2;2;0;0;0;1;432
2;2;0;0;0;1;433
2;2;0;0;0;1;434
2;2;0;0;0;1;435
2;2;0;0;0;1;436
2;2;0;0;0;1;437
2;2;0;0;0;1;438
2;2;0;0;0;1;439
2;2;0;0;0;1;440
2;2;0;0;0;1;441
2;2;0;0;0;1;442
2;2;0;0;0;1;443
2;2;0;0;0;1;444
2;2;0;0;0;1;445
2;2;0;0;0;1;446
2;2;0;0;0;1;447
2;2;0;0;0;1;448
2;2;0;0;0;1;449
2;2;0;0;0;1;450
2;2;0;0;0;1;451
2;2;0;0;0;1;452
2;2;0;0;0;1;453
2;2;0;0;0;1;454
2;2;0;0;0;1;455
2;2;0;0;0;1;456
2;2;0;0;0;1;457
2;2;0;0;0;1;458
2;2;0;0;0;1;459
2;2;0;0;0;1;460
2;2;0;0;0;1;461
2;2;0;0;0;1;462
2;2;0;0;0;1;463
2;2;0;0;0;1;464
2;2;0;0;0;1;465
2;2;0;0;0;1;466
2;2;0;0;0;1;467
2;2;0;0;0;1;468
2;2;0;0;0;1;469
2;2;0;0;0;1;470
2;2;0;0;0;1;471
2;2;0;0;0;1;472
2;2;0;0;0;1;473
2;2;0;0;0;1;474
2;2;0;0;0;1;475
2;2;0;0;0;1;476
2;2;0;0;0;1;477
2;2;0;0;0;1;478
2;2;0;0;0;1;479
2;2;0;0;0;1;480
2;2;0;0;0;1;481
2;2;0;0;0;1;482
2;2;0;0;0;1;483
2;2;0;0;0;1;484
2;2;0;0;0;1;485
2;2;0;0;0;1;486
2;2;0;0;0;1;487
2;2;0;0;0;1;488
2;2;0;0;0;1;489
2;2;0;0;0;1;490
2;2;0;0;0;1;491
2;2;0;0;0;1;492
2;2;0;0;0;1;493
2;2;0;0;0;1;494
2;2;0;0;0;1;495
2;2;0;0;0;1;496
2;2;0;0;0;1;497
2;2;0;0;0;1;498
2;2;0;0;0;1;499
2;2;0;0;0;1;500
2;2;0;0;0;1;501
2;2;0;0;0;1;502
2;2;0;0;0;1;503
2;2;0;0;0;1;504
2;2;0;0;0;1;505
2;2;0;0;0;1;506
2;2;0;0;0;1;507
2;2;0;0;0;1;508
2;2;0;0;0;1;509
2;2;0;0;0;1;510
2;2;0;0;0;1;511
2;2;0;0;0;1;512
2;2;0;0;0;1;513
2;3;0;0;0;1;514
2;3;0;0;0;1;515
2;3;0;0;0;1;516
2;3;0;0;0;1;517
2;3;0;0;0;1;518
2;3;0;0;0;1;519
2;3;0;0;0;1;520
2;3;0;0;0;1;521
2;3;0;0;0;1;522
2;3;0;0;0;1;523
2;3;0;0;0;1;524
2;3;0;0;0;1;525
2;3;0;0;0;1;526
2;3;0;0;0;1;527
2;3;0;0;0;1;528
2;3;0;0;0;1;529
2;3;0;0;0;1;530
2;3;0;0;0;1;531
2;3;0;0;0;1;532
2;3;0;0;0;1;533
2;3;0;0;0;1;534
2;3;0;0;0;1;535
2;3;0;0;0;1;536
2;3;0;0;0;1;537
2;3;0;0;0;1;538
2;3;0;0;0;1;539
2;3;0;0;0;1;540
2;3;0;0;0;1;541
2;3;0;0;0;1;542
2;3;0;0;0;1;543
2;3;0;0;0;1;544
2;3;0;0;0;1;545
2;3;0;0;0;1;546
2;3;0;0;0;1;547
2;3;0;0;0;1;548
2;3;0;0;0;1;549
2;3;0;0;0;1;550
2;3;0;0;0;1;551
2;3;0;0;0;1;552
2;3;0;0;0;1;553
2;3;0;0;0;1;554
2;3;0;0;0;1;555
2;3;0;0;0;1;556
2;3;0;0;0;1;557
2;3;0;0;0;1;558
2;3;0;0;0;1;559
2;3;0;0;0;1;560
2;3;0;0;0;1;561
2;3;0;0;0;1;562
2;3;0;0;0;1;563
2;3;0;0;0;1;564
2;3;0;0;0;1;565
2;3;0;0;0;1;566
2;3;0;0;0;1;567
2;3;0;0;0;1;568
2;3;0;0;0;1;569
2;3;0;0;0;1;570
2;3;0;0;0;1;571
2;3;0;0;0;1;572
2;3;0;0;0;1;573
2;3;0;0;0;1;574
2;3;0;0;0;1;575
2;3;0;0;0;1;576
2;3;0;0;0;1;577
2;3;0;0;0;1;578
2;3;0;0;0;1;579
2;3;0;0;0;1;580
2;3;0;0;0;1;581
2;3;0;0;0;1;582
2;3;0;0;0;1;583
2;3;0;0;0;1;584
2;3;0;0;0;1;585
2;3;0;0;0;1;586
2;3;0;0;0;1;587
2;3;0;0;0;1;588
2;3;0;0;0;1;589
2;3;0;0;0;1;590
2;3;0;0;0;1;591
2;3;0;0;0;1;592
2;3;0;0;0;1;593
2;3;0;0;0;1;594
2;3;0;0;0;1;595
2;3;0;0;0;1;596
2;3;0;0;0;1;597
2;3;0;0;0;1;598
2;3;0;0;0;1;599
2;3;0;0;0;1;600
2;3;0;0;0;1;601
2;3;0;0;0;1;602
2;3;0;0;0;1;603
2;3;0;0;0;1;604
2;3;0;0;0;1;605
2;3;0;0;0;1;606
2;3;0;0;0;1;607
2;3;0;0;0;1;608
2;3;0;0;0;1;609
2;3;0;0;0;1;610
2;3;0;0;0;1;611
2;3;0;0;0;1;612
2;3;0;0;0;1;613
2;3;0;0;0;1;614
2;3;0;0;0;1;615
2;3;0;0;0;1;616
2;3;0;0;0;1;617
2;3;0;0;0;1;618
2;3;0;0;0;1;619
2;3;0;0;0;1;620
2;3;0;0;0;1;621
2;3;0;0;0;1;622
2;3;0;0;0;1;623
2;3;0;0;0;1;624
2;3;0;0;0;1;625
2;3;0;0;0;1;626
2;3;0;0;0;1;627
2;3;0;0;0;1;628
2;3;0;0;0;1;629
2;3;0;0;0;1;630
2;3;0;0;0;1;631
2;3;0;0;0;1;632
2;3;0;0;0;1;633
2;3;0;0;0;1;634
2;3;0;0;0;1;635
2;3;0;0;0;1;636
2;3;0;0;0;1;637
2;3;0;0;0;1;638
2;3;0;0;0;1;639
2;3;0;0;0;1;640
2;3;0;0;0;1;641
2;3;0;0;0;1;642
2;3;0;0;0;1;643
2;3;0;0;0;1;644
2;3;0;0;0;1;645
2;3;0;0;0;1;646
2;3;0;0;0;1;647
2;3;0;0;0;1;648
2;3;0;0;0;1;649
2;3;0;0;0;1;650
2;3;0;0;0;1;651
2;3;0;0;0;1;652
2;3;0;0;0;1;653
2;3;0;0;0;1;654
2;3;0;0;0;1;655
2;3;0;0;0;1;656
2;3;0;0;0;1;657
2;3;0;0;0;1;658
2;3;0;0;0;1;659
2;3;0;0;0;1;660
3;3;0;0;0;1;661
3;3;0;0;0;1;662
3;4;0;0;0.0;1;663
3;4;0;0;0.0;1;664
3;4;0;0;0.0;1;665
3;4;0;0;0.0;1;666
3;4;0;0;0.0;1;667
3;4;0;0;0.0;1;668
3;4;0;0;0.0;1;669
3;4;0;0;0.0;1;670
3;4;0;0;0.0;1;671
3;5;0;0;0.0;1;672
3;5;0;0;0.0;1;673
3;5;0;0;0.0;1;674
3;5;0;0;0.0;1;675
3;5;0;0;0.0;1;676
3;5;0;0;0.0;1;677
3;5;0;0;0.0;1;678
3;5;0;0;0.0;1;679
3;5;0;0;0.0;1;680
3;5;0;0;0.0;1;681
3;5;0;0;0.0;1;682
3;5;0;0;0.0;1;683
3;5;0;0;0.0;1;684
3;5;0;0;0.0;1;685
3;5;0;0;0.0;1;686
3;5;0;0;0.0;1;687
3;5;0;0;0.0;1;688
3;5;0;0;0.0;1;689
3;5;0;0;0.0;1;690
3;5;0;0;0.0;1;691
3;5;0;0;0.0;1;692
3;5;0;0;0.0;1;693
3;5;0;0;0.0;1;694
3;5;0;0;0.0;1;695
3;5;0;0;0.0;1;696
3;5;0;0;0.0;1;697
3;5;0;0;0.0;1;698
3;5;0;0;0.0;1;699
3;5;0;0;0.0;1;700
3;5;0;0;0.0;1;701
3;5;0;0;0.0;1;702
3;5;0;0;0.0;1;703
3;5;0;0;0.0;1;704
3;5;0;0;0.0;1;705
3;5;0;0;0.0;1;706
3;5;0;0;0.0;1;707
3;5;0;0;0.0;1;708
3;5;0;0;0.0;1;709
3;5;0;0;0.0;1;710
3;5;0;0;0.0;1;711
3;5;0;0;0.0;1;712
3;5;0;0;0.0;1;713
3;5;0;0;0.0;1;714
3;5;0;0;0.0;1;715
3;5;0;0;0.0;1;716
3;5;0;0;0.0;1;717
3;5;0;0;0.0;1;718
3;5;0;0;0.0;1;719
3;5;0;0;0.0;1;720
3;5;0;0;0.0;1;721
3;5;0;0;0.0;1;722
3;5;0;0;0.0;1;723
3;5;0;0;0.0;1;724
3;5;0;0;0.0;1;725
3;5;0;0;0.0;1;726
3;5;0;0;0.0;1;727
3;5;0;0;0.0;1;728
3;5;0;0;0.0;1;729
3;5;0;0;0.0;1;730
3;5;0;0;0.0;1;731
3;5;0;0;0.0;1;732
3;5;0;0;0.0;1;733
3;5;0;0;0.0;1;734
3;5;0;0;0.0;1;735
3;5;0;0;0.0;1;736
3;5;0;0;0.0;1;737
3;5;0;0;0.0;1;738
3;5;0;0;0.0;1;739
3;5;0;0;0.0;1;740
3;5;0;0;0.0;1;741
3;5;0;0;0.0;1;742
3;5;0;0;0.0;1;743
3;5;0;0;0.0;1;744
3;5;0;0;0.0;1;745
3;5;0;0;0.0;1;746
3;5;0;0;0.0;1;747
4;5;0;0;0.0;1;748
4;5;0;0;0.0;1;749
4;5;0;0;0.0;1;750
4;5;0;0;0.0;1;751
4;5;0;0;0.0;1;752
4;5;0;0;0.0;1;753
4;5;0;0;0.0;1;754
4;5;0;0;0.0;1;755
4;5;0;0;0.0;1;756
4;5;0;0;0.0;1;757
4;5;0;0;0.0;1;758
4;5;0;0;0.0;1;759
4;5;0;0;0.0;1;760
4;5;0;0;0.0;1;761
4;5;0;0;0.0;1;762
4;5;0;0;0.0;1;763
4;5;0;0;0.0;1;764
4;5;0;0;0.0;1;765
4;5;0;0;0.0;1;766
4;5;0;0;0.0;1;767
4;5;0;0;0.0;1;768
4;5;0;0;0.0;1;769
4;5;0;0;0.0;1;770
4;5;0;0;0.0;1;771
4;5;0;0;0.0;1;772
4;5;0;0;0.0;1;773
4;5;0;0;0.0;1;774
4;5;0;0;0.0;1;775
4;5;0;0;0.0;1;776
4;5;0;0;0.0;1;777
4;5;0;0;0.0;1;778
4;5;0;0;0.0;1;779
4;5;0;0;0.0;1;780
4;5;0;0;0.0;1;781
4;5;0;0;0.0;1;782
4;5;0;0;0.0;1;783
4;5;0;0;0.0;1;784
4;5;0;0;0.0;1;785
4;5;0;0;0.0;1;786
4;5;0;0;0.0;1;787
4;5;0;0;0.0;1;788
4;5;0;0;0.0;1;789
4;5;0;0;0.0;1;790
4;5;0;0;0.0;1;791
4;5;0;0;0.0;1;792
4;5;0;0;0.0;1;793
4;5;0;0;0.0;1;794
4;5;0;0;0.0;1;795
4;5;0;0;0.0;1;796
4;5;0;0;0.0;1;797
4;5;0;0;0.0;1;798
4;5;0;0;0.0;1;799
4;5;0;0;0.0;1;800
5;5;0;0;0.0;1;801
5;5;0;0;0.0;1;802
5;5;0;0;0.0;1;803
5;5;0;0;0.0;1;804
5;5;0;0;0.0;1;805
5;5;0;0;0.0;1;806
5;5;0;0;0.0;1;807
5;5;0;0;0.0;1;808
5;5;0;0;0.0;1;809
5;5;0;0;0.0;1;810
5;5;0;0;0.0;1;811
5;5;0;0;0.0;1;812
5;5;0;0;0.0;1;813
5;5;0;0;0.0;1;814
5;5;0;0;0.0;1;815
5;5;0;0;0.0;1;816
5;5;0;0;0.0;1;817
5;5;0;0;0.0;1;818
5;5;0;0;0.0;1;819
5;5;0;0;0.0;1;820
5;5;0;0;0.0;1;821
5;5;0;0;0.0;1;822
5;5;0;0;0.0;1;823
5;5;0;0;0.0;1;824
5;5;0;0;0.0;1;825
5;5;0;0;0.0;1;826
5;5;0;0;0.0;1;827
5;5;0;0;0.0;1;828
5;5;0;0;0.0;1;829
5;5;0;0;0.0;1;830
5;5;0;0;0.0;1;831
5;5;0;0;0.0;1;832
5;5;0;0;0.0;1;833
5;5;0;0;0.0;1;834
5;5;0;0;0.0;1;835
5;5;0;0;0.0;1;836
5;5;0;0;0.0;1;837
5;5;0;0;0.0;1;838
5;5;0;0;0.0;1;839
5;5;0;0;0.0;1;840
5;5;0;0;0.0;1;841
5;5;0;0;0.0;1;842
5;5;0;0;0.0;1;843
5;5;0;0;0.0;1;844
5;5;0;0;0.0;1;845
5;5;0;0;0.0;1;846
5;5;0;0;0.0;1;847
5;5;0;0;0.0;1;848
5;5;0;0;0.0;1;849
5;5;0;0;0.0;1;850
5;5;0;0;0.0;1;851
5;5;0;0;0.0;1;852
5;5;0;0;0.0;1;853
5;5;0;0;0.0;1;854
5;5;0;0;0.0;1;855
5;5;0;0;0.0;1;856
5;5;0;0;0.0;1;857
5;5;0;0;0.0;1;858
5;5;0;0;0.0;1;859
5;5;0;0;0.0;1;860
5;5;0;0;0.0;1;861
5;5;0;0;0.0;1;862
5;5;0;0;0.0;1;863
5;5;0;0;0.0;1;864
5;5;0;0;0.0;1;865
5;5;0;0;0.0;1;866
5;5;0;0;0.0;1;867
5;6;0;0;0.0;1;868
5;6;0;0;0.0;1;869
5;6;0;0;0.0;1;870
5;6;0;0;0.0;1;871
5;6;0;0;0.0;1;872
5;6;0;0;0.0;1;873
5;6;0;0;0.0;1;874
5;6;0;0;0.0;1;875
5;6;0;0;0.0;1;876
5;6;0;0;0.0;1;877
5;6;0;0;0.0;1;878
5;6;0;0;0.0;1;879
5;6;0;0;0.0;1;880
5;6;0;0;0.0;1;881
5;6;0;0;0.0;1;882
5;6;0;0;0.0;1;883
5;6;0;0;0.0;1;884
5;6;0;0;0.0;1;885
5;6;0;0;0.0;1;886
5;6;0;0;0.0;1;887
5;6;0;0;0.0;1;888
5;6;0;0;0.0;1;889
5;6;0;0;0.0;1;890
5;6;0;0;0.0;1;891
5;6;0;0;0.0;1;892
5;6;0;0;0.0;1;893
5;6;0;0;0.0;1;894
5;6;0;0;0.0;1;895
5;6;0;0;0.0;1;896
5;6;0;0;0.0;1;897
5;6;0;0;0.0;1;898
5;6;0;0;0.0;1;899
5;6;0;0;0.0;1;900
5;6;0;0;0.0;1;901
5;6;0;0;0.0;1;902
5;6;0;0;0.0;1;903
5;6;0;0;0.0;1;904
5;6;0;0;0.0;1;905
5;6;0;0;0.0;1;906
5;6;0;0;0.0;1;907
5;6;0;0;0.0;1;908
5;6;0;0;0.0;1;909
5;6;0;0;0.0;1;910
5;6;0;0;0.0;1;911
5;6;0;0;0.0;1;912
5;6;0;0;0.0;1;913
5;6;0;0;0.0;1;914
5;6;0;0;0.0;1;915
5;6;0;0;0.0;1;916
5;6;0;0;0.0;1;917
5;6;0;0;0.0;1;918
5;6;0;0;0.0;1;919
5;6;0;0;0.0;1;920
5;6;0;0;0.0;1;921
5;6;0;0;0.0;1;922
5;6;0;0;0.0;1;923
5;6;0;0;0.0;1;924
5;6;0;0;0.0;1;925
5;6;0;0;0.0;1;926
5;6;0;0;0.0;1;927
5;6;0;0;0.0;1;928
5;6;0;0;0.0;1;929
5;6;0;0;0.0;1;930
5;6;0;0;0.0;1;931
5;6;0;0;0.0;1;932
5;6;0;0;0.0;1;933
5;6;0;0;0.0;1;934
5;6;0;0;0.0;1;935
5;6;0;0;0.0;1;936
5;6;0;0;0.0;1;937
6;6;0;0;0.0;1;938
6;6;0;0;0.0;1;939
6;6;0;0;0.0;1;940
6;6;0;0;0.0;1;941
6;6;0;0;0.0;1;942
6;6;0;0;0.0;1;943
6;6;0;0;0.0;1;944
6;6;0;0;0.0;1;945
6;6;0;0;0.0;1;946
6;6;0;0;0.0;1;947
6;6;0;0;0.0;1;948
6;6;0;0;0.0;1;949
6;6;0;0;0.0;1;950
