total_number_messages_human;total_number_messages_agent;average_message_length_human;average_message_length_agent;ignored;trustPhase;trustValue;noIgnored;noSuggestions;workload;timePressure;taskSeverity;taskSwitch;occupiedTime;complySpeed;performanceGap;responseTime;searchTookLong;world_nr;tick_nr
0;18;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.003541666666666667;-1;-1;1;19
0;19;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0037500000000000003;-1;-1;1;20
0;20;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.003958333333333334;-1;-1;1;21
0;21;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.004166666666666667;-1;-1;1;22
0;22;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.004375;-1;-1;1;23
0;23;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.004583333333333333;-1;-1;1;24
0;24;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.004791666666666667;-1;-1;1;25
0;25;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.005000000000000001;-1;-1;1;26
0;26;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.005208333333333333;-1;-1;1;27
0;27;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.005416666666666667;-1;-1;1;28
0;28;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.005625000000000001;-1;-1;1;29
0;29;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.005833333333333334;-1;-1;1;30
0;30;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.006041666666666667;-1;-1;1;31
0;31;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.00625;-1;-1;1;32
0;32;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.006458333333333333;-1;-1;1;33
0;33;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.006666666666666667;-1;-1;1;34
0;34;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.006875000000000001;-1;-1;1;35
0;35;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.007083333333333334;-1;-1;1;36
0;36;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.007291666666666667;-1;-1;1;37
0;37;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.007500000000000001;-1;-1;1;38
0;38;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0077083333333333335;-1;-1;1;39
0;39;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.007916666666666667;-1;-1;1;40
0;40;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.008125;-1;-1;1;41
0;41;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.008333333333333333;-1;-1;1;42
0;42;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.008541666666666668;-1;-1;1;43
0;43;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.00875;-1;-1;1;44
0;44;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.008958333333333334;-1;-1;1;45
0;45;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.009166666666666667;-1;-1;1;46
0;46;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.009375;-1;-1;1;47
0;47;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.009583333333333334;-1;-1;1;48
0;48;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.009791666666666667;-1;-1;1;49
0;49;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.010000000000000002;-1;-1;1;50
0;50;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.010208333333333335;-1;-1;1;51
0;51;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.010416666666666666;-1;-1;1;52
0;52;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.010625;-1;-1;1;53
0;53;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.010833333333333334;-1;-1;1;54
0;54;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.011041666666666668;-1;-1;1;55
0;55;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.011250000000000001;-1;-1;1;56
0;56;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.011458333333333333;-1;-1;1;57
0;57;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.011666666666666667;-1;-1;1;58
0;60;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.011875;-1;-1;1;59
0;60;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.011875;-1;-1;1;60
0;60;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.011875;-1;-1;1;61
0;60;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.011875;-1;-1;1;62
0;60;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.011875;-1;-1;1;63
0;60;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.011875;-1;-1;1;64
0;60;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.011875;-1;-1;1;65
0;60;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.011875;-1;-1;1;66
0;60;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.011875;-1;-1;1;67
0;61;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.013750000000000002;-1;-1;1;68
0;61;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.013750000000000002;-1;-1;1;69
0;61;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.013750000000000002;-1;-1;1;70
0;61;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.013750000000000002;-1;-1;1;71
0;61;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.013750000000000002;-1;-1;1;72
0;61;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.013750000000000002;-1;-1;1;73
0;61;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.013750000000000002;-1;-1;1;74
0;61;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.013750000000000002;-1;-1;1;75
0;61;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.013750000000000002;-1;-1;1;76
0;62;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.015625;-1;-1;1;77
0;62;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.015625;-1;-1;1;78
0;62;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.015625;-1;-1;1;79
0;62;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.015625;-1;-1;1;80
0;62;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.015625;-1;-1;1;81
0;62;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.015625;-1;-1;1;82
0;62;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.015625;-1;-1;1;83
0;62;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.015625;-1;-1;1;84
0;62;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.015625;-1;-1;1;85
0;63;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0175;-1;-1;1;86
0;63;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0175;-1;-1;1;87
0;63;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0175;-1;-1;1;88
0;63;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0175;-1;-1;1;89
0;63;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0175;-1;-1;1;90
0;63;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0175;-1;-1;1;91
0;63;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0175;-1;-1;1;92
0;63;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0175;-1;-1;1;93
0;63;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0175;-1;-1;1;94
0;64;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.019375;-1;-1;1;95
0;64;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.019375;-1;-1;1;96
0;64;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.019375;-1;-1;1;97
0;64;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.019375;-1;-1;1;98
0;64;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.019375;-1;-1;1;99
0;64;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.019375;-1;-1;1;100
0;64;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.019375;-1;-1;1;101
0;64;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.019375;-1;-1;1;102
0;64;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.019375;-1;-1;1;103
0;65;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.02125;-1;-1;1;104
0;65;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.02125;-1;-1;1;105
0;65;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.02125;-1;-1;1;106
0;65;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.02125;-1;-1;1;107
0;65;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.02125;-1;-1;1;108
0;65;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.02125;-1;-1;1;109
0;65;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.02125;-1;-1;1;110
0;65;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.02125;-1;-1;1;111
0;65;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.02125;-1;-1;1;112
0;66;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.023125000000000003;-1;-1;1;113
0;66;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.023125000000000003;-1;-1;1;114
0;66;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.023125000000000003;-1;-1;1;115
0;66;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.023125000000000003;-1;-1;1;116
0;66;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.023125000000000003;-1;-1;1;117
0;66;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.023125000000000003;-1;-1;1;118
0;66;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.023125000000000003;-1;-1;1;119
0;66;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.023125000000000003;-1;-1;1;120
0;66;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.023125000000000003;-1;-1;1;121
0;67;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.025;-1;-1;1;122
0;67;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.025;-1;-1;1;123
0;67;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.025;-1;-1;1;124
0;67;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.025;-1;-1;1;125
0;67;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.025;-1;-1;1;126
0;67;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.025;-1;-1;1;127
0;67;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.025;-1;-1;1;128
0;67;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.025;-1;-1;1;129
0;67;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.025;-1;-1;1;130
0;68;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.026875;-1;-1;1;131
0;68;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.026875;-1;-1;1;132
0;68;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.026875;-1;-1;1;133
0;68;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.026875;-1;-1;1;134
0;68;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.026875;-1;-1;1;135
0;68;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.026875;-1;-1;1;136
0;68;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.026875;-1;-1;1;137
0;68;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.026875;-1;-1;1;138
0;68;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.026875;-1;-1;1;139
0;69;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.02875;-1;-1;1;140
0;69;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.02875;-1;-1;1;141
0;69;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.02875;-1;-1;1;142
0;69;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.02875;-1;-1;1;143
0;69;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.02875;-1;-1;1;144
0;69;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.02875;-1;-1;1;145
0;69;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.02875;-1;-1;1;146
0;69;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.02875;-1;-1;1;147
0;69;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.02875;-1;-1;1;148
0;70;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.030625000000000003;-1;-1;1;149
0;70;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.030625000000000003;-1;-1;1;150
0;70;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.030625000000000003;-1;-1;1;151
0;70;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.030625000000000003;-1;-1;1;152
0;70;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.030625000000000003;-1;-1;1;153
0;70;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.030625000000000003;-1;-1;1;154
0;70;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.030625000000000003;-1;-1;1;155
0;70;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.030625000000000003;-1;-1;1;156
0;70;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.030625000000000003;-1;-1;1;157
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;158
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;159
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;160
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;161
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;162
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;163
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;164
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;165
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;166
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;167
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;168
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;169
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;170
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;171
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;172
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;173
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;174
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;175
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;176
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;177
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;178
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;179
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;180
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;181
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;182
0;71;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.0325;-1;-1;1;183
0;73;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.03791666666666667;-1;-1;1;184
0;73;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.03791666666666667;-1;-1;1;185
0;73;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.03791666666666667;-1;-1;1;186
0;73;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.03791666666666667;-1;-1;1;187
0;73;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.03791666666666667;-1;-1;1;188
0;73;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.03791666666666667;-1;-1;1;189
0;73;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.03791666666666667;-1;-1;1;190
0;73;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.03791666666666667;-1;-1;1;191
0;73;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.03791666666666667;-1;-1;1;192
0;74;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.03979166666666667;-1;-1;1;193
0;74;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.03979166666666667;-1;-1;1;194
0;74;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.03979166666666667;-1;-1;1;195
0;74;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.03979166666666667;-1;-1;1;196
0;74;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.03979166666666667;-1;-1;1;197
0;74;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.03979166666666667;-1;-1;1;198
0;74;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.03979166666666667;-1;-1;1;199
0;74;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.03979166666666667;-1;-1;1;200
0;74;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.03979166666666667;-1;-1;1;201
0;75;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.041666666666666664;-1;-1;1;202
0;75;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.041666666666666664;-1;-1;1;203
0;75;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.041666666666666664;-1;-1;1;204
0;75;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.041666666666666664;-1;-1;1;205
0;75;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.041666666666666664;-1;-1;1;206
0;75;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.041666666666666664;-1;-1;1;207
0;75;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.041666666666666664;-1;-1;1;208
0;75;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.041666666666666664;-1;-1;1;209
0;75;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.041666666666666664;-1;-1;1;210
0;76;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04354166666666667;-1;-1;1;211
0;76;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04354166666666667;-1;-1;1;212
0;76;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04354166666666667;-1;-1;1;213
0;76;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04354166666666667;-1;-1;1;214
0;76;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04354166666666667;-1;-1;1;215
0;76;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04354166666666667;-1;-1;1;216
0;76;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04354166666666667;-1;-1;1;217
0;76;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04354166666666667;-1;-1;1;218
0;76;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04354166666666667;-1;-1;1;219
0;76;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04354166666666667;-1;-1;1;220
0;76;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04354166666666667;-1;-1;1;221
0;76;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04354166666666667;-1;-1;1;222
0;76;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04354166666666667;-1;-1;1;223
0;76;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04354166666666667;-1;-1;1;224
0;77;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04645833333333334;-1;-1;1;225
0;77;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04645833333333334;-1;-1;1;226
0;77;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04645833333333334;-1;-1;1;227
0;77;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04645833333333334;-1;-1;1;228
0;77;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04645833333333334;-1;-1;1;229
0;77;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04645833333333334;-1;-1;1;230
0;77;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04645833333333334;-1;-1;1;231
0;77;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04645833333333334;-1;-1;1;232
0;77;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04645833333333334;-1;-1;1;233
0;77;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04645833333333334;-1;-1;1;234
0;77;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04645833333333334;-1;-1;1;235
0;77;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04645833333333334;-1;-1;1;236
0;77;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04645833333333334;-1;-1;1;237
0;77;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04645833333333334;-1;-1;1;238
0;78;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04937500000000001;-1;-1;1;239
0;78;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04937500000000001;-1;-1;1;240
0;78;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04937500000000001;-1;-1;1;241
0;78;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04937500000000001;-1;-1;1;242
0;78;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04937500000000001;-1;-1;1;243
0;78;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04937500000000001;-1;-1;1;244
0;78;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04937500000000001;-1;-1;1;245
0;78;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04937500000000001;-1;-1;1;246
0;78;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.04937500000000001;-1;-1;1;247
0;79;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.051250000000000004;-1;-1;1;248
0;79;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.051250000000000004;-1;-1;1;249
0;79;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.051250000000000004;-1;-1;1;250
0;79;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.051250000000000004;-1;-1;1;251
0;79;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.051250000000000004;-1;-1;1;252
0;79;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.051250000000000004;-1;-1;1;253
0;79;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.051250000000000004;-1;-1;1;254
0;79;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.051250000000000004;-1;-1;1;255
0;79;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.051250000000000004;-1;-1;1;256
0;80;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.053125;-1;-1;1;257
0;80;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.053125;-1;-1;1;258
0;80;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.053125;-1;-1;1;259
0;80;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.053125;-1;-1;1;260
0;80;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.053125;-1;-1;1;261
0;80;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.053125;-1;-1;1;262
0;80;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.053125;-1;-1;1;263
0;80;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.053125;-1;-1;1;264
0;80;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.053125;-1;-1;1;265
0;82;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.05500000000000001;-1;-1;1;266
0;83;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.05520833333333333;-1;-1;1;267
0;84;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.05541666666666667;-1;-1;1;268
0;85;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.05562500000000001;-1;-1;1;269
0;86;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.05583333333333333;-1;-1;1;270
0;87;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.05604166666666667;-1;-1;1;271
0;88;0;0;0;2;0.25;0;0;0;0;0;0;0;-1;0.05625;-1;-1;1;272
